"","grower_id","date","bog","rot","debris","color","variety","kqf_pre","kqf_final"
"340","Harj01","10/15/2013","BYRNE9",6.92,0,46,"ST",1,2
"341","Hamb03","10/17/2013","C 1",3.99,0,34,"HO",1,2
"342","Hamb03","10/17/2013","C 1",3.99,0,34,"HO",1,2
"343","Hamb03","10/18/2013","C 2",3.23,0,33,"HO",1,2
"344","Hamb03","10/16/2013","C 4",2.28,0,33,"HO",1,2
"345","Hamb03","10/15/2013","C 5",1.86,0,72,"EB",1,2
"346","Hamb03","10/11/2013","C 6",3.94,0,58,"EB",1,2
"347","Hamb03","10/11/2013","C 6",3.94,0,58,"EB",1,2
"348","Hamb03","10/9/2013","C 7",1.47,0,45,"EB",1,2
"349","Hamb03","10/9/2013","C 8",4.31,0,59,"EB",1,2
"350","Hamb03","10/16/2013","C 9",1.19,0,64,"EB",1,2
"351","Hamb03","10/16/2013","C 9",1.19,0,64,"EB",1,2
"352","Deca01","9/24/2013","C AR01",2.85,0,32,"EB",1,2
"353","Deca01","9/24/2013","C AR01",1.6,0,28,"EB",1,2
"354","Hamb03","10/15/2013","C10",1.11,0,72,"EB",1,2
"355","Hamb03","10/15/2013","C10",1.11,0,72,"EB",1,2
"356","Hamb03","10/16/2013","C11",0.8,0,45,"HO",1,2
"357","Hamb03","10/17/2013","C11",0.8,0,45,"HO",1,2
"358","Hamb03","10/15/2013","C12",2.08,0,35,"HO",1,2
"359","Hamb03","10/11/2013","C13",2.48,0,57,"EB",1,2
"360","Hamb03","10/11/2013","C13",2.57,0,63,"EB",1,2
"361","Hamb03","10/11/2013","C14",0.53,0,58,"EB",1,2
"362","Hamb03","10/10/2013","C15",3.23,0,43,"BL",1,2
"363","Hamb03","10/10/2013","C15",3.23,0,43,"BL",1,2
"364","Hamb03","10/10/2013","C15",5.37,0,37,"BL",1,2
"365","Hamb03","10/10/2013","C15",5.37,0,37,"BL",1,2
"366","Hamb03","10/11/2013","C15",2.09,0,39,"BL",1,2
"367","Hamb03","10/11/2013","C15",2.09,0,39,"BL",1,2
"368","Hamb03","10/9/2013","C16",1.62,0,44,"BL",1,2
"369","Hamb03","10/10/2013","C16",1.62,0,44,"BL",1,2
"370","Hamb03","10/10/2013","C16",1.62,0,44,"BL",1,2
"371","Hamb03","10/10/2013","C16",1.62,0,44,"BL",1,2
"372","Hamb03","10/9/2013","C17",1.4,0,29,"ST",1,2
"373","Hamb03","10/9/2013","C17",1.4,0,29,"ST",1,2
"374","Hamb03","10/9/2013","C17",1.4,0,29,"ST",1,2
"375","Hamb03","10/9/2013","C17",1.4,0,29,"ST",1,2
"376","Hamb03","10/9/2013","C17",1.77,0,27,"ST",1,2
"377","Hamb03","10/9/2013","C17",1.77,0,27,"ST",1,2
"378","Hamb03","10/8/2013","C18",2.76,0,29,"ST",1,2
"379","Hamb03","10/8/2013","C18",2.76,0,29,"ST",1,2
"380","Hamb03","10/8/2013","C18",2.76,0,29,"ST",1,2
"381","Hamb03","10/8/2013","C19",1.45,0,33,"ST",1,2
"382","Hamb03","10/8/2013","C19",1.45,0,33,"ST",1,2
"383","Hamb03","10/8/2013","C19",1.45,0,33,"ST",1,2
"384","Pink01","10/21/2013","Canal",1.01,0,31,"HO",1,2
