date,grower_id,Bog,LotID,GTL,Rot,Debris,Color,Variety,GTL.1,Pack Out %,kqf_pre,kqf_final,Lot Pack Out,Useable w3% allow,"Useable 
w 3 % Allow",GTLID,BogID,# Totes,"Ave Bin 
Wgt.",NetWeight
2012-10-02,Zani01,ST 7B,"1,157",1427,,,,BL,40500,97.17%,,,,,,,,,,
2012-10-03,Bett01,10,"1,174",1450,,,,ST,46200,93.11%,,,,,,,,,,
2012-10-03,Bett01,10,"1,182",1457,,,,ST,48600,94.53%,,,,,,,,,,
2012-10-03,Bett01,10,"1,182",1459,,,,ST,25240,94.53%,,,,,,,,,,
2012-10-03,Bott05,3,"1,177",1452,,,,HO,51320,95.99%,,,,,,,,,,
2012-10-03,Deca03,ZPD,"1,166",1441,,,,PD,9900,95.60%,,,,,,,,,,
2012-10-03,Hamb01,Pond V,"1,168",1443,,,,EB,8380,94.19%,,,,,,,,,,
2012-10-03,Hann01,C10,"1,167",1442,,,,EB,41620,93.12%,,,,,,,,,,
2012-10-03,Hann01,C10,"1,169",1444,,,,EB,34780,96.01%,,,,,,,,,,
2012-10-03,Hann01,C10,"1,172",1447,,,,EB,41580,96.12%,,,,,,,,,,
2012-10-03,Hann01,C 7,"1,173",1448,,,,EB,9100,92.10%,,,,,,,,,,
2012-10-03,Hann01,C 9,"1,179",1454,,,,EB,58300,93.62%,,,,,,,,,,
2012-10-03,Hann01,C 9,"1,180",1455,,,,EB,23080,95.75%,,,,,,,,,,
2012-10-03,Hann01,C 7,"1,184",1460,,,,EB,35260,94.13%,,,,,,,,,,
2012-10-03,Hann01,C 6,"1,187",1463,,,,EB,40900,95.53%,,,,,,,,,,
2012-10-03,Nant01,#6,"1,165",1439,,,,EB,35000,89.18%,,,,,,,,,,
2012-10-03,Norr01,A-7,"1,178",1453,,,,EB,28080,90.27%,,,,,,,,,,
2012-10-03,Norr01,A-7,"1,185",1461,,,,EB,11920,89.69%,,,,,,,,,,
2012-10-03,Perr03,2,"1,183",1458,,,,BL,24580,89.21%,,,,,,,,,,
2012-10-03,Pett02,3,"1,164",1440,,,,ST,4920,94.49%,,,,,,,,,,
2012-10-03,Reze02,#16,"1,171",1446,,,,ST,23880,91.69%,,,,,,,,,,
2012-10-03,Reze02,#16,"1,176",1449,,,,ST,51260,94.08%,,,,,,,,,,
2012-10-03,Ryco01,#1,"1,186",1462,,,,ST,22300,73.03%,,,,,,,,,,
2012-10-03,Youn01,Mdw St,"1,181",1456,,,,BL,14600,94.75%,,,,,,,,,,
2012-10-03,Zani01,ST 7A,"1,170",1445,,,,BL,42060,95.97%,,,,,,,,,,
2012-10-03,Zani01,ST 7A,"1,175",1451,,,,BL,33240,96.89%,,,,,,,,,,
2012-10-04,Bett01,11,"1,193",1470,,,,ST,49280,93.78%,,,,,,,,,,
2012-10-04,Bett01,11,"1,193",1471,,,,ST,17320,93.78%,,,,,,,,,,
2012-10-04,Deca01,Joll1,"1,201",1482,,,,ST,45960,91.37%,,,,,,,,,,
2012-10-04,Deca01,ROUN9,"1,204",1486,,,,PM,10520,62.34%,,,,,,,,,,
2012-10-04,Deca03,ZPD,"1,189",1465,,,,PD,9360,91.97%,,,,,,,,,,
2012-10-04,Hann01,C 6,"1,192",1469,,,,EB,31780,96.43%,,,,,,,,,,
2012-10-04,Hann01,C 5,"1,197",1477,,,,EB,40480,96.85%,,,,,,,,,,
2012-10-04,Lamb01,A,"1,205",1487,,,,OS,35920,96.73%,,,,,,,,,,
2012-10-04,Mors01,BIG,"1,194",1473,,,,EB,27420,87.59%,,,,,,,,,,
2012-10-04,Mors01,BIG,"1,194",1483,,,,EB,38460,87.59%,,,,,,,,,,
2012-10-04,Nant01,#13,"1,188",1464,,,,EB,46740,88.03%,,,,,,,,,,
2012-10-04,Norr01,A-10,"1,198",1478,,,,EB,12380,87.68%,,,,,,,,,,
2012-10-04,Pike01,#5,"1,195",1474,,,,BL,10840,91.86%,,,,,,,,,,
